id	word	meaning	hint
34	aim	objetivo	to direct a goal or intention
35	imperative	essencial	extremely important or necessary
36	postpone	adiar	to delay something
37	behind	atrás	at or to the far side of
38	first off	começar	to begin with
39	go over	revisar	to review or examine
40	once more	repetir	an extra time, again
41	procedure	procedimento	an established way of doing something
42	state	afirmar	to say something clearly
43	thoroughly	minuciosamente	in a detailed way
44	farewell party	festa de despedida	a party to say goodbye
45	collection	vaquinha	money given by different people, often used to buy a gift or help someone
46	looking forward	ansioso	excited about something in the future
47	grandchildren	netos	children of your children
48	dead-end job	emprego sem futuro	a job with no growth
49	commute	deslocamento	travel regularly to work
50	talk out	conversar até resolver	to speak someone with to come up with answers to a question or to work through a problem
51	figure out	descobrir	to understand or solve
52	rusty	enferrujado	lacking skill due to lack of practice
53	behavior	comportamento	the way someone acts
54	deliver	entregar	to bring or provide something
55	key strengths	pontos fortes	main abilities or advantages
56	every other day	dia sim, dia não	on alternate days
57	managerial	gerencial	related to management
58	stealing	roubo	taking something illegally
59	bounce off	trocar ideias	to share ideas informally
60	employment	emprego	work or job
61	duty	dever	a responsibility or task
62	fair	justo	reasonable or equitable
63	take it easy	relaxar	relax or do not worry
64	at least	pelo menos	not less than
65	duties	responsabilidades	tasks or responsibilities
66	tailor	adaptar	to customize for a purpose
67	whichever	qualquer que seja	no matter which
68	proofread	revisar texto	to check text for errors
69	leverage	aproveitar	to use something to maximum advantage
70	tune in	acompanhar	to pay attention or watch/listen
71	land	conseguir	to obtain or arrive
72	worthwhile	que vale a pena	worth the effort
73	career fair	feira de carreiras	event for job opportunities
79	entry-level	nível inicial	position suitable for beginners
80	overwhelming	avassalador	very strong or intense
81	seekers	recrutadores	people looking for something
82	at once	de uma vez	right away or simultaneously
83	so far	até agora	until this moment
84	on the spot	imediatamente	immediately or in public
85	grab attention	chamar a atenção de alguém	make someone notice
86	hook	chamar atenção	attract or catch interest
87	shaking hands	aperto de mãos	formal greeting gesture
88	compensate	pagamento	to pay someone for work done
89	internship	estágio	a job, often unpaid, that gives someone work experiences
90	booth	estande	a small area, sometimes a table, that has things for sale or provide information
91	follow up	acompanhar	to ask for additional information, to plan to continue a discussion at a later date
92	availability	disponibilidade	the dates and times a person is able to work
93	disability	deficiência	physical or mental limitation
94	discriminate against	discriminar	treat unfairly
95	marital status	estado civil	marriage condition
96	vouch for	garantir	say someone is trustworthy
97	asset	qualidade	 a useful person or quality
98	cover letter	carta de apresentação	 a letter that you send in addition to your résumé and provides extra information about you
99	hassle	incômodo	something annoying or inconvenient
100	form letter	carta	a letter that is copied and sent to many people
101	sincerely	atenciosamente	formal email closing
102	aware	consciente	knowing that something is true, or that something exists
103	slot	vaga	tan opening for something, such as appointment
104	if that suits you	se for conveniente para você	if that is acceptable to you, more formal way to say “if that is okay with you”
105	find out	ficar sabendo	to learn or discovery
106	picky	exigente	liking things a particular way, only liking certain things, hard to please
107	word of mouth	boca a boca	information shared verbally
108	advance	avanço	 move forward, move to a higher level
109	knock on wood	bater na madeira	a phrase one says(while knowing a wood, if possible) for good luck after mentioning a hope - “bater na madeira”
110	catch some rays	pegar um sol	spend time in the sun
111	chill out	relaxar	relax and calm down
112	commute with nature	contato com a natureza	travel surrounded by nature
113	couch potato	sedentário	person who watches a lot of TV
114	concerned	preocupado	worried or anxious
115	grin	sorrir	to give a big smile
116	wink	piscar	often signal or joke
117	glance	olhar rapidamente	quick look
118	dependable	confiável	can be trusted
119	foolish	tolo	showing lack of good sense
120	settled	resolvido	decided or calm
121	weapon	arma	something that is used for fighting, such as a gun or a knife
122	threaten	ameaçar	 to say that someone will be harmed or hurt, especially if they do not do something
123	burst open	abrir de repente	open suddenly and forcefully
124	kidnap	sequestrar	take someone by force
125	growl	rosnar	if a person growls, he or she talks is a deep voice, often because he or she is angry
126	irked	incomodado	annoyed or bothered by something
127	cage	gaiola	a box or an area with bars around it for keeping animals in
128	vanish	desaparecer	disappear suddenly
129	spit	cuspir	force liquid from mouth
130	pride	orgulho	a feeling of pleasure because you have achieve something
131	sneak	esgueirar-se	move quietly and secretly
132	here goes nothing	lá vou eu	said before trying something risky
133	startled	assustado	suddenly surprised
134	shatter	estilhaçar	break into many pieces
135	ankle	tornozelo	joint of the foot
136	trapped	preso	unable to escape
137	vice	vício	bad habit
139	nod	acenar com a cabeça	move head up and down
140	blasted	destruído	an old expression to show anger or dislike
141	glare	olhar com raiva	to look at someone in a way that shows you are very angry
142	showdown	confronto final	final decisive conflict
143	murmur	murmurar	speak quietly and unclearly
144	twist	reviravolta	to turn something or change direction; an unexpected change in a situation
145	spiky	pontiagudo	having sharp points or spikes
146	boyfriend material	material para namorado	someone who has qualities that make them suitable for a long-term relationship
147	argue	discutir	to speak angrily or disagree with someone
148	pace	ritmo	the speed at which something happens or someone moves
149	folks	pessoas	people, especially family or parents
150	interject	interromper (com comentário)	to interrupt a conversation with a remark
151	hang out	passar tempo juntos	to spend time relaxing or socializing
153	big deal	algo importante	something considered important or significant
154	naive	ingênuo	lacking experience or understanding of the real world
155	snidely	ironicamente	in a mocking or contemptuous way
156	GPA	média de notas (Grade Point Average)	a numerical average of a student’s academic grades
157	deserve	merecer	to be worthy of something
158	swear	jurar/xingar	to make a serious promise or use offensive languageswear
159	back off	recuar	to move away or stop interfering
160	scent	aroma	a distinctive smell
161	whisper	sussurrar	to speak very softly
162	yawn	bocejar	to open the mouth wide due to tiredness or boredom
163	howl	uivar	to make a long loud cry
164	doubt	duvidar	to feel uncertain about something
165	struggle	lutar	to make a great effort despite difficulty
166	prospect	possibilidade	a potential opportunity or future chance
167	on a regular basis	regularmente	happening repeatedly at consistent intervals
168	face the music	enfrentar as consequências	to accept the unpleasant results of one’s actions
169	be better of	estar em melhor situação	to be in a more advantageous or improved condition
170	in the long run	a longo prazo	over a long period of time
171	attorney	advogado	a person legally qualified to represent others in court
172	invaluable	inestimável	extremely useful or important
173	annoys	irrita	causes slight anger or discomfort
174	though	embora	used to introduce a contrast or concession
175	be	ser / estar	to exist or be in a state
176	have	ter	to possess or own
177	do	fazer	to perform an action
178	say	dizer	to express words verbally
179	go	ir	to move to another place
180	get	obter / ficar	to receive or become
181	make	fazer / criar	to create or produce
182	know	saber / conhecer	to have information or familiarity
183	think	pensar / achar	to have an opinion or idea
184	take	pegar / levar	to grab or carry
185	see	ver	to perceive with the eyes
186	come	vir	to move toward the speaker
187	give	dar	to provide to someone
188	find	encontrar	to discover or locate
189	tell	contar / dizer	to inform or narrate
190	feel	sentir	to experience an emotion or sensation
191	leave	sair / deixar	to go away or abandon
192	become	tornar-se	to start being something
193	bring	trazer	to carry to a place
194	begin	começar	to start something
195	keep	manter	to continue having or holding
196	hold	segurar	to keep in the hand
197	hear	ouvir	to perceive sound
198	write	escrever	to form words in text
199	understand	entender	to comprehend meaning
200	abide	permanecer / cumprir	to remain or follow a rule
201	arise	surgir	to appear or begin
