id	vocab_id	sentence
34	34	She aims to become a software engineer.
35	34	We should aim higher this year.
36	34	The project aims to reduce costs.
37	34	He aimed the camera carefully.
38	34	They aim for quality over speed.
39	34	The policy aims at fairness.
40	34	She is aiming for a promotion.
41	34	The program aims to help beginners.
42	34	He aimed his efforts at learning English.
43	34	We aim to finish the project early.
44	35	It is imperative to follow the rules.
45	35	Communication is imperative in a team.
46	35	Sleep is imperative for health.
47	35	It is imperative that we act now.
48	35	Security is imperative in this system.
49	35	Clear documentation is imperative.
50	35	Training is imperative for success.
51	35	Safety measures are imperative.
52	35	Time management is imperative.
53	35	It became imperative to fix the issue.
54	36	They postponed the meeting.
55	36	We had to postpone the release.
56	36	The event was postponed due to rain.
57	36	He postponed his vacation.
58	36	Let’s not postpone the decision.
59	36	The launch was postponed again.
60	36	She postponed the call.
61	36	They postponed the deadline.
62	36	The trip was postponed indefinitely.
63	36	He decided to postpone the task.
64	37	He was behind schedule.
65	37	She stayed behind after class.
66	37	The car behind us was speeding.
67	37	We are behind in our work.
68	37	He hid behind the door.
69	37	The team is behind on tasks.
70	37	She left everything behind.
71	37	He fell behind in school.
72	37	The house is behind the park.
73	37	They are behind the project.
74	38	First off, let me explain the rules.
75	38	First off, thank you for coming.
76	38	First off, we need a plan.
77	38	First off, I disagree.
78	38	First off, check your email.
79	38	First off, we must define goals.
80	38	First off, I want to clarify something.
81	38	First off, this is not acceptable.
82	38	First off, let’s review the basics.
83	38	First off, welcome everyone.
84	39	Let’s go over the report.
85	39	We need to go over the details.
86	39	The teacher went over the lesson.
87	39	Can we go over this once more?
88	39	He went over the plan carefully.
89	39	She went over her notes.
90	39	Let’s go over the requirements.
91	39	They went over the contract.
92	39	I want to go over the rules.
93	39	We should go over everything.
94	40	Please say that once more.
95	40	Let’s try once more.
96	40	He checked the data once more.
97	40	She asked once more for help.
98	40	We failed once more.
99	40	He read the email once more.
100	40	Try once more tomorrow.
101	40	They met once more.
102	40	He knocked once more.
103	40	Let’s review this once more.
104	41	Follow the correct procedure.
105	41	The procedure is clearly defined.
106	41	This procedure takes time.
107	41	Safety procedure must be followed.
108	41	The procedure was updated.
109	41	They explained the procedure.
110	41	It’s a standard procedure.
111	41	The procedure failed.
112	41	We reviewed the procedure.
113	41	The procedure is mandatory.
114	42	He stated his opinion clearly.
115	42	Please state your name.
116	42	She stated the facts.
117	42	The law states that clearly.
118	42	He stated his position.
119	42	The report states the problem.
120	42	She stated her concerns.
121	42	The document states the rules.
122	42	He stated the objective.
123	42	Please state your reason.
124	43	Clean the room thoroughly.
125	43	He explained the topic thoroughly.
126	43	She reviewed the code thoroughly.
127	43	They enjoyed the trip thoroughly.
128	43	The system was thoroughly tested.
129	43	Read the document thoroughly.
130	43	He checked everything thoroughly.
131	43	The issue was thoroughly analyzed.
132	43	She washed her hands thoroughly.
133	43	The process was thoroughly reviewed.
134	44	They organized a farewell party.
135	44	We had a farewell party at work.
136	44	The farewell party was emotional.
137	44	She invited everyone to her farewell party.
138	44	The team planned a farewell party.
139	44	They held a farewell party on Friday.
140	44	It was a surprise farewell party.
141	44	He gave a speech at the farewell party.
142	44	The farewell party was unforgettable.
143	44	We attended a farewell party.
144	45	They organized a collection for the farewell party.
145	45	We made a collection to buy her a gift.
146	45	The collection raised enough money.
147	45	Everyone contributed to the collection.
148	45	The office collection was a success.
149	45	They started a collection for charity.
150	45	The collection helped pay for the present.
151	45	She managed the collection.
152	45	A small collection was made among friends.
153	45	The team agreed to do a collection.
154	46	I am looking forward to the trip.
155	46	She is looking forward to the meeting.
156	46	They are looking forward to the results.
157	46	He is looking forward to the weekend.
158	46	We are looking forward to working together.
159	46	She said she is looking forward to it.
160	46	I am really looking forward to it.
161	46	They are looking forward to the launch.
162	46	He is looking forward to retirement.
163	46	We are looking forward to your reply.
164	47	She loves her grandchildren.
165	47	They visit their grandchildren often.
166	47	His grandchildren live nearby.
167	47	The grandchildren are playing outside.
168	47	She babysits her grandchildren.
169	47	He is proud of his grandchildren.
170	47	They took pictures of their grandchildren.
171	47	The grandchildren came to visit.
172	47	She talks about her grandchildren often.
173	47	They enjoy time with their grandchildren.
174	48	He feels stuck in a dead-end job.
175	48	She quit her dead-end job.
176	48	Nobody wants a dead-end job.
177	48	He escaped a dead-end job.
178	48	She was tired of her dead-end job.
179	48	It felt like a dead-end job.
180	48	He described it as a dead-end job.
181	48	They discussed leaving their dead-end job.
182	48	She stayed too long in a dead-end job.
183	48	He wanted more than a dead-end job.
184	49	I commute to work every day.
185	49	She has a long commute.
186	49	His commute takes an hour.
187	49	They commute by train.
188	49	The commute is exhausting.
189	49	She hates her commute.
190	49	He shortened his commute.
191	49	Many people commute daily.
192	49	The commute was delayed.
193	49	He changed jobs to reduce his commute.
194	50	They talked out their problems.
195	50	Let’s talk it out.
196	50	They talked out the issue calmly.
197	50	He suggested talking it out.
198	50	They managed to talk it out.
199	50	We should talk this out.
200	50	She talked it out with him.
201	50	They talked out their differences.
202	50	Let’s talk it out before deciding.
203	50	They talked it out peacefully.
204	51	I need to figure out the problem.
205	51	She figured out the answer.
206	51	I need to figure out the best solution for this problem.
207	51	They figured out the solution.
208	51	She’s trying to figure out why the system is failing.
209	51	We must figure out how to improve performance.
210	51	He finally figured out the correct answer.
211	51	Can you figure out what this error means?
212	51	They figured out how it works.
213	51	They are working to figure out a way to reduce costs.
214	52	I am rusty at speaking English.
215	52	He feels rusty after years away.
216	52	My math skills are rusty.
217	52	She is a bit rusty.
218	52	He sounded rusty at first.
219	52	I am rusty but improving.
220	52	They were rusty in the beginning.
221	52	His skills are rusty.
222	52	I feel rusty today.
223	52	She was rusty after the break.
224	53	His behavior was unacceptable.
225	53	Good behavior is rewarded.
226	53	She studied animal behavior.
227	53	The behavior changed over time.
228	53	His behavior improved.
229	53	They discussed his behavior.
230	53	Behavior matters in the workplace.
231	53	The child showed good behavior.
232	53	They analyzed user behavior.
233	53	Behavior reflects values.
234	54	The company will deliver the package tomorrow.
235	54	She delivered an excellent presentation.
236	54	We need to deliver results.
237	54	He failed to deliver on time.
238	54	They deliver quality services.
239	54	The system delivers accurate data.
240	54	She always delivers what she promises.
241	54	The courier delivered the documents.
242	54	He managed to deliver under pressure.
243	54	The team delivered a great product.
244	55	Communication is one of his key strengths.
245	55	She highlighted her key strengths.
246	55	Teamwork is among my key strengths.
247	55	Understanding your key strengths is important.
248	55	They discussed the candidate’s key strengths.
249	55	One of his key strengths is the ability to solve complex problems quickly.
250	55	The report outlines key strengths.
251	55	He knows his key strengths well.
252	55	Leadership is one of her key strengths.
253	55	They focused on their key strengths.
254	56	I go to the gym every other day.
255	56	She works from home every other day.
256	56	We have meetings every other day.
257	56	He takes the bus every other day.
258	56	They practice English every other day.
259	56	The medication is taken every other day.
260	56	She calls her parents every other day.
261	56	He studies late every other day.
262	56	They clean the office every other day.
263	56	I cook at home every other day.
264	57	She has strong managerial skills.
265	57	He applied for a managerial position.
266	57	Managerial decisions affect the team.
267	57	She lacks managerial experience.
268	57	The role requires managerial responsibility.
269	57	He is developing managerial abilities.
270	57	Managerial tasks can be challenging.
271	57	The course focuses on managerial training.
272	57	She moved into a managerial role.
